clause_id,doc_id,section,text,subject_gt,obligation_gt,condition_gt,threshold_gt,deadline_gt,exception_gt,human_reviewed
OBL-0148,basel3,Preamble,"To determine whether the treatment in paragraph 185 applies to an in-scope SFT (or a netting
set of SFTs in the case of portfolio-level haircuts), we must compare the collateral haircut H (real or
calculated as per the rules below) and a haircut floor f (from paragraph 184 above or calculated as per the
below rules).",we,must compare the collateral haircut H (real or calculated as per the rules below) and a haircut floor f (from paragraph 184 above or calculated as per the below rules),To determine whether the treatment in paragraph 185 applies to an in-scope SFT (or a netting set of SFTs in the case of portfolio-level haircuts),,,,TRUE
OBL-0149,basel3,Preamble,"• For a single collateral-for-collateral SFT, lending collateral A and receiving collateral B, the H is
still be defined by the amount of collateral received but the effective floor of the transaction must
integrate the floor of the two types of collateral and can be computed as:
 1   1  1+f
f =   −1= B −1
1+f
A
 1+f
B
 1+f
A
C
which will be compared to the effective haircut of the transaction, ie B −1.",regulated entity conducting single collateral-for-collateral SFT,"define H by amount of collateral received, integrate floor of both collateral types using specified formula, and compare to effective haircut",for a single collateral-for-collateral SFT lending collateral A and receiving collateral B,"effective floor computed as f = (1/(1+fB)) - 1 = (1+fA)/(1+fB) - 1, compared to effective haircut (1+fA)/(1+fB) - 1",,,TRUE
OBL-0150,basel3,Preamble,"For a netting of SFTs an effective “portfolio” floor of the transaction must be computed as:
 ∑E   ∑C 
f = s s   t t −1
Portfolio ∑E × ( 1+f ) ∑C × ( 1+f )
 s s s   t t t 
46 Basel III: Finalising post-crisis reforms
where E s is the net position in each security (or cash) s that is net lent, C t the net position that is net
borrowed, and f s and f t are the haircut floors for the securities that are net lent and net borrowed
respectively.",regulated entities conducting netting of SFTs,compute an effective portfolio floor of the transaction using the specified formula,for a netting of SFTs,"formula: f = (∑Es∑Ct-1)/((∑Es × (1+fs))(∑Ct × (1+ft))) where Es is net position in each security net lent, Ct is net position net borrowed, and fs and ft are haircut floors",,,TRUE
OBL-0151,basel3,Preamble,"For on-balance sheet netting, the
requirements in paragraphs 163 and 172 and 126 to 130 must be applied.",,apply the requirements in paragraphs 163 and 172 and 126 to 130,for on-balance sheet netting,,,,TRUE
OBL-0152,basel3,Preamble,"A guarantee (counter-guarantee) or credit derivative must satisfy the following requirements:
(a) it represents a direct claim on the protection provider;",guarantee (counter-guarantee) or credit derivative,must satisfy the requirements including representing a direct claim on the protection provider,,,,,TRUE
OBL-0153,basel3,Preamble,"there is no clause in the contract that would allow the
protection provider unilaterally to cancel the credit cover or that would increase the effective cost
of cover as a result of deteriorating credit quality in the hedged exposure;82
(d) it must be unconditional;",protection provider,"must not include contract clauses that allow unilateral cancellation of credit cover or increase effective cost due to deteriorating credit quality, and coverage must be unconditional",deteriorating credit quality in the hedged exposure,,,,TRUE
OBL-0154,basel3,Preamble,"In the case of maturity mismatches, the amount of credit protection that is provided must be
adjusted in accordance with paragraphs 126 to 130.",,must adjust the amount of credit protection that is provided in accordance with paragraphs 126 to 130,in the case of maturity mismatches,,,,TRUE
OBL-0155,basel3,Preamble,"In addition to the legal certainty requirements in paragraph 125, in order for a guarantee to be
recognised, the following requirements must be satisfied:
(a) On the qualifying default/non-payment of the counterparty, the bank may in a timely manner
pursue the guarantor for any monies outstanding under the documentation governing the
transaction.",bank,may pursue the guarantor for any monies outstanding under the documentation governing the transaction,qualifying default/non-payment of the counterparty and for a guarantee to be recognised,,in a timely manner,,TRUE
OBL-0156,basel3,Preamble,"The bank must have the right to receive any such
payments from the guarantor without first having to take legal action in order to pursue the
counterparty for payment.",The bank,must have the right to receive any such payments from the guarantor without first having to take legal action in order to pursue the counterparty for payment,,,,,TRUE
OBL-0157,basel3,Preamble,82 There must be no possibility for the protection provider to change the maturity agreed ex post.,protection provider,must not change the maturity agreed ex post,,no possibility,,,TRUE
OBL-0158,basel3,Preamble,"48 Basel III: Finalising post-crisis reforms
(b) The guarantee is an explicitly documented obligation assumed by the guarantor.",the guarantor,is an explicitly documented obligation assumed by the guarantor,when providing a guarantee,,,,TRUE
OBL-0159,basel3,Preamble,"Where a guarantee covers
payment of principal only, interests and other uncovered payments must be treated as an
unsecured amount in accordance with the rules for proportional cover described in paragraph
202.",,interests and other uncovered payments must be treated as an unsecured amount in accordance with the rules for proportional cover described in paragraph 202,Where a guarantee covers payment of principal only,,,,TRUE
OBL-0160,basel3,Preamble,"In addition to the legal certainty requirements in paragraph 125, in order for a credit derivative
contract to be recognised, the following requirements must be satisfied:
(a) The credit events specified by the contracting parties must at a minimum cover:
− failure to pay the amounts due under terms of the underlying obligation that are in effect at
the time of such failure (with a grace period that is closely in line with the grace period in
the underlying obligation);",contracting parties,must specify credit events that at a minimum cover failure to pay the amounts due under terms of the underlying obligation that are in effect at the time of such failure (with a grace period that is closely in line with the grace period in the underlying obligation),for a credit derivative contract to be recognised,,,,TRUE
OBL-0161,basel3,Preamble,"and
− restructuring83 of the underlying obligation involving forgiveness or postponement of
principal, interest or fees that results in a credit loss event (ie write-off, specific provision or
other similar debit to the profit and loss account).",,"restructuring of the underlying obligation involving forgiveness or postponement of principal, interest or fees that results in a credit loss event","results in a credit loss event (ie write-off, specific provision or other similar debit to the profit and loss account)",,,,TRUE
OBL-0162,basel3,Preamble,"(b) If the credit derivative covers obligations that do not include the underlying obligation, section
(g) below governs whether the asset mismatch is permissible.",,section (g) below governs whether the asset mismatch is permissible,If the credit derivative covers obligations that do not include the underlying obligation,,,,TRUE
OBL-0163,basel3,Preamble,"(c) The credit derivative shall not terminate prior to expiration of any grace period required for a
default on the underlying obligation to occur as a result of a failure to pay.",credit derivative,shall not terminate prior to expiration of any grace period required for a default on the underlying obligation to occur as a result of a failure to pay,default on the underlying obligation to occur as a result of a failure to pay,,expiration of any grace period required for a default,,TRUE
OBL-0164,basel3,Preamble,"In the case of a
maturity mismatch, the provisions of paragraphs 126 to 130 must be applied.",the provisions of paragraphs 126 to 130,must apply the provisions of paragraphs 126 to 130,in the case of a maturity mismatch,,,,TRUE
OBL-0165,basel3,Preamble,"There must be a clearly
specified period for obtaining post-credit-event valuations of the underlying obligation.",,clearly specify a period for obtaining post-credit-event valuations of the underlying obligation,post-credit-event,,,,TRUE
OBL-0166,basel3,Preamble,"If the
reference obligation specified in the credit derivative for purposes of cash settlement is different
from the underlying obligation, section (g) below governs whether the asset mismatch is
permissible.",,section (g) below governs whether the asset mismatch is permissible,If the reference obligation specified in the credit derivative for purposes of cash settlement is different from the underlying obligation,,,,TRUE
OBL-0167,basel3,Preamble,"(e) If the protection purchaser’s right/ability to transfer the underlying obligation to the protection
provider is required for settlement, the terms of the underlying obligation must provide that any
required consent to such transfer may not be unreasonably withheld.",protection purchaser,the terms of the underlying obligation must provide that any required consent to such transfer may not be unreasonably withheld,If the protection purchaser's right/ability to transfer the underlying obligation to the protection provider is required for settlement,,,,TRUE
OBL-0168,basel3,Preamble,"(f) The identity of the parties responsible for determining whether a credit event has occurred must
be clearly defined.",identity of the parties responsible for determining whether a credit event has occurred,must be clearly defined,identity of the parties,,,,TRUE
OBL-0169,basel3,Preamble,This determination must not be the sole responsibility of the protection seller.,protection seller,must not be the sole responsibility of,this determination,,,,TRUE
OBL-0170,basel3,Preamble,"The protection buyer must have the right/ability to inform the protection provider of the
occurrence of a credit event.",The protection buyer,must have the right/ability to inform the protection provider of the occurrence of a credit event,occurrence of a credit event,,,,TRUE
OBL-0171,basel3,Preamble,"Basel III: Finalising post-crisis reforms 49
(g) A mismatch between the underlying obligation and the reference obligation under the credit
derivative (ie the obligation used for purposes of determining cash settlement value or the
deliverable obligation) is permissible if (1) the reference obligation ranks pari passu with or is
junior to the underlying obligation, and (2) the underlying obligation and reference obligation
share the same obligor (ie the same legal entity) and legally enforceable",Financial institutions using credit derivatives,May permit mismatch between underlying obligation and reference obligation under credit derivative,Reference obligation ranks pari passu with or is junior to underlying obligation AND underlying obligation and reference obligation share same obligor AND are legally enforceable,,,,TRUE
OBL-0172,basel3,Preamble,"(h) A mismatch between the underlying obligation and the obligation used for purposes of
determining whether a credit event has occurred is permissible if (1) the latter obligation ranks
pari passu with or is junior to the underlying obligation, and (2) the underlying obligation and
reference obligation share the same obligor (ie the same legal entity) and legally enforceable
cross-default or cross-acceleration clauses are in place.",,A mismatch between the underlying obligation and the obligation used for purposes of determining whether a credit event has occurred is permissible,"if (1) the latter obligation ranks pari passu with or is junior to the underlying obligation, and (2) the underlying obligation and reference obligation share the same obligor (ie the same legal entity) and legally enforceable cross-default or cross-acceleration clauses are in place",,,,TRUE
OBL-0173,basel3,Preamble,"When the restructuring of the underlying obligation is not covered by the credit derivative, but
the other requirements in paragraph 195 are met, partial recognition of the credit derivative will be
allowed.",,partial recognition of the credit derivative will be allowed,"When the restructuring of the underlying obligation is not covered by the credit derivative, but the other requirements in paragraph 195 are met",,,,TRUE
OBL-0174,basel3,Preamble,"If the amount of the credit derivative is less than or equal to the amount of the underlying
obligation, 60% of the amount of the hedge can be recognised as covered.",,60% of the amount of the hedge can be recognised as covered,If the amount of the credit derivative is less than or equal to the amount of the underlying obligation,60%,,,TRUE
OBL-0175,basel3,Preamble,"If the amount of the credit
derivative is larger than that of the underlying obligation, then the amount of eligible hedge is capped at
60% of the amount of the underlying obligation.",,the amount of eligible hedge is capped at 60% of the amount of the underlying obligation,If the amount of the credit derivative is larger than that of the underlying obligation,60% of the amount of the underlying obligation,,,TRUE
OBL-0176,basel3,Preamble,"Moreover, the following conditions will have to be met:
o For corporate entities (or the entity’s parent company), they must have securities
outstanding on a recognised securities exchange;",corporate entities (or the entity's parent company),must have securities outstanding on a recognised securities exchange,For corporate entities (or the entity's parent company),,,,TRUE
OBL-0177,basel3,Preamble,"In transactions in which a bank
provided credit protection through such instruments, it shall apply the treatment described in
paragraph 89.",bank,apply the treatment described in paragraph 89,in transactions in which a bank provided credit protection through such instruments,,,,TRUE
OBL-0178,basel3,Preamble,"The portion of the exposure that is below
a materiality threshold must be assigned a risk weight of 1250% by the bank purchasing the credit
protection.",the bank purchasing the credit protection,must assign a risk weight of 1250% to the portion of the exposure that is below a materiality threshold,The portion of the exposure that is below a materiality threshold,materiality threshold,,,TRUE
OBL-0179,basel3,Preamble,"Where the credit protection is denominated in a currency different from that in which the
exposure is denominated – ie there is a currency mismatch – the amount of the exposure deemed to be
protected must be reduced by the application of a haircut H FX, ie
( )
G =G⋅ 1−H
A FX
where:
G = nominal amount of the credit protection
H = haircut appropriate for currency mismatch between the credit protection and underlying
FX
obligation.",regulated entity with credit protection exposure,must reduce the amount of exposure deemed to be protected by applying haircut HFX using the formula G_A = G × (1 - H_FX),where credit protection is denominated in a currency different from the exposure currency,haircut HFX appropriate for currency mismatch,,,TRUE
OBL-0180,basel3,Preamble,"This haircut must be scaled up using the square root of time formula, depending on the
frequency of revaluation of the credit protection as described in paragraph 172.",This haircut,must be scaled up using the square root of time formula,depending on the frequency of revaluation of the credit protection as described in paragraph 172,,,,TRUE
OBL-0181,basel3,Preamble,"The
minimum requirements that banks must satisfy to use the IRB approach are presented at the end of this
section starting at Section H, paragraph 154.",banks,must satisfy minimum requirements to use the IRB approach,to use the IRB approach,minimum requirements,,,TRUE
OBL-0182,basel3,Preamble,"Under the IRB approach, banks must categorise banking-book exposures into broad classes of
assets with different underlying risk characteristics, subject to the definitions set out below.",banks,"must categorise banking-book exposures into broad classes of assets with different underlying risk characteristics, subject to the definitions set out below",Under the IRB approach,,,,TRUE
OBL-0183,basel3,Preamble,"While it is not the intention of the Committee to require banks to change the way in which they
manage their business and risks, banks are required to apply the appropriate treatment to each exposure
for the purposes of deriving their minimum capital requirement.",banks,apply the appropriate treatment to each exposure for the purposes of deriving their minimum capital requirement,for the purposes of deriving their minimum capital requirement,,,,TRUE
OBL-0184,basel3,Preamble,"Banks must demonstrate to supervisors
that their methodology for assigning exposures to different classes is appropriate and consistent over
time.",Banks,must demonstrate to supervisors that their methodology for assigning exposures to different classes is appropriate and consistent over time,,,,,TRUE
OBL-0185,basel3,Preamble,"In general, a corporate exposure is defined as a debt obligation of a corporation, partnership, or
proprietorship.",,,"debt obligation of a corporation, partnership, or proprietorship",,,,TRUE
OBL-0186,basel3,Preamble,"• The borrowing entity has little or no other material assets or activities, and therefore little or no
independent capacity to repay the obligation, apart from the income that it receives from the
asset(s) being financed;",borrowing entity,repay the obligation,"has little or no other material assets or activities, and therefore little or no independent capacity to repay the obligation, apart from the income that it receives from the asset(s) being financed",little or no,,,TRUE
OBL-0187,basel3,Preamble,"• The terms of the obligation give the lender a substantial degree of control over the asset(s) and
the income that it generates;",lender,give the lender a substantial degree of control over the asset(s) and the income that it generates,the terms of the obligation,substantial degree of control,,,TRUE
OBL-0188,basel3,Preamble,"and
• As a result of the preceding factors, the primary source of repayment of the obligation is the
income generated by the asset(s), rather than the independent capacity of a broader commercial
enterprise.",,"the primary source of repayment of the obligation is the income generated by the asset(s), rather than the independent capacity of a broader commercial enterprise","As a result of the preceding factors, the primary source of repayment of the obligation is the income generated by the asset(s), rather than the independent capacity of a broader commercial enterprise",,,,TRUE
OBL-0189,basel3,Preamble,"Where supervisors categorise certain types of commercial real estate exposures as HVCRE in their
jurisdictions, they are required to make public such determinations.",supervisors,make public such determinations,where supervisors categorise certain types of commercial real estate exposures as HVCRE in their jurisdictions,,,,TRUE
OBL-0190,basel3,Preamble,"Other supervisors need to ensure that
such treatment is then applied equally to banks under their supervision when making such HVCRE loans
in that jurisdiction.",Other supervisors,ensure that such treatment is then applied equally to banks under their supervision when making such HVCRE loans in that jurisdiction,when making such HVCRE loans in that jurisdiction,,,,TRUE
OBL-0191,basel3,Preamble,"It is, however, important for supervisors to ensure that
such flexibility (and the implied acceptance of exposure amounts in excess of the thresholds that
are not treated as violations) is not being abused.",supervisors,ensure that such flexibility is not being abused,when flexibility allows acceptance of exposure amounts in excess of thresholds that are not treated as violations,,,,TRUE
OBL-0192,basel3,Preamble,"The exposure must be one of a large pool of exposures, which are managed by the bank on a
pooled basis.",the bank,"must be one of a large pool of exposures, which are managed by the bank on a pooled basis",the exposure must be one of a large pool of exposures,large pool,,,TRUE
OBL-0193,basel3,Preamble,"Furthermore, it must not be managed individually in a way
comparable to corporate exposures, but rather as part of a portfolio segment or pool of
exposures with similar risk characteristics for purposes of risk assessment and quantification.",it,"must not be managed individually in a way comparable to corporate exposures, but rather as part of a portfolio segment or pool of exposures with similar risk characteristics for purposes of risk assessment and quantification",,,,,TRUE
OBL-0194,basel3,Preamble,"Within the retail asset class category, banks are required to identify separately three sub-classes
of exposures: (a) residential mortgage loans, as defined above, (b) qualifying revolving retail exposures, as
defined in the following paragraph, and (c) all other retail exposures.",banks,"identify separately three sub-classes of exposures: (a) residential mortgage loans, (b) qualifying revolving retail exposures, and (c) all other retail exposures",within the retail asset class category,three sub-classes,,,TRUE
OBL-0195,basel3,Preamble,"All of the following criteria must be satisfied for a sub-portfolio to be treated as a qualifying
revolving retail exposure (QRRE).",sub-portfolio,must satisfy all specified criteria to be treated as qualifying revolving retail exposure,for treatment as a qualifying revolving retail exposure (QRRE),all criteria,,,TRUE
OBL-0196,basel3,Preamble,"These criteria must be applied at a sub-portfolio level consistent with the
bank’s segmentation of its retail activities generally.",bank,apply criteria at a sub-portfolio level consistent with the bank's segmentation of its retail activities generally,for retail activities segmentation,,,,TRUE
OBL-0197,basel3,Preamble,"(d) Because the asset correlation assumptions for the QRRE risk-weight function are markedly below
those for the other retail risk-weight function at low PD values, banks must demonstrate that the
use of the QRRE risk-weight function is constrained to portfolios that have exhibited low volatility
of loss rates, relative to their average level of loss rates, especially within the low PD bands.",banks,"must demonstrate that the use of the QRRE risk-weight function is constrained to portfolios that have exhibited low volatility of loss rates, relative to their average level of loss rates, especially within the low PD bands",Because the asset correlation assumptions for the QRRE risk-weight function are markedly below those for the other retail risk-weight function at low PD values,,,,TRUE
OBL-0198,basel3,Preamble,"(e) Data on loss rates for the sub-portfolio must be retained in order to allow analysis of the volatility
of loss rates.",financial institutions,Data on loss rates for the sub-portfolio must be retained in order to allow analysis of the volatility of loss rates,for the sub-portfolio,,,,TRUE
OBL-0199,basel3,Preamble,"Basel III: Finalising post-crisis reforms 57
(f) The supervisor must concur that treatment as a qualifying revolving retail exposure is consistent
with the underlying risk characteristics of the sub-portfolio.",The supervisor,must concur that treatment as a qualifying revolving retail exposure is consistent with the underlying risk characteristics of the sub-portfolio,,,,,TRUE
OBL-0200,basel3,Preamble,"The bank must also apply the minimum operational requirements as set forth in Sections F and
H.",The bank,must also apply the minimum operational requirements as set forth in Sections F and H,,minimum operational requirements,,,TRUE
OBL-0201,basel3,Preamble,"In particular, to be eligible for the
proposed ‘top-down’ treatment, purchased corporate receivables must satisfy the following conditions:
• The receivables are purchased from unrelated, third party sellers, and as such the bank has not
originated the receivables either directly or indirectly.",bank,"must ensure purchased corporate receivables are purchased from unrelated, third party sellers and that the bank has not originated the receivables either directly or indirectly",to be eligible for the proposed 'top-down' treatment,,,,TRUE
OBL-0202,basel3,Preamble,"58 Basel III: Finalising post-crisis reforms
• The receivables must be generated on an arm’s-length basis between the seller and the obligor.",The receivables,must be generated on an arm's-length basis between the seller and the obligor,,,,,TRUE
OBL-0203,basel3,Preamble,"(As such, intercompany accounts receivable and receivables subject to contra-accounts between
firms that buy and sell to each other are ineligible.5)
• The purchasing bank has a claim on all proceeds from the pool of receivables or a pro-rata
interest in the proceeds.6
• National supervisors must also establish concentration limits above which capital charges must
be calculated using the minimum requirements for the bottom-up approach for corporate
exposures.",National supervisors,must establish concentration limits above which capital charges must be calculated using the minimum requirements for the bottom-up approach for corporate exposures,above concentration limits,concentration limits,,,TRUE
OBL-0204,basel3,Preamble,"• Minimum requirements: the minimum standards that must be met in order for a bank to use the
IRB approach for a given asset class.",bank,meet minimum standards,to use the IRB approach for a given asset class,minimum standards,,,TRUE
OBL-0205,basel3,Preamble,"For both the foundation
and advanced approaches, banks must always use the risk-weight functions provided in this Framework
for the purpose of deriving capital requirements.",banks,must always use the risk-weight functions provided in this Framework for the purpose of deriving capital requirements,for both the foundation and advanced approaches,,,,TRUE
OBL-0206,basel3,Preamble,"In making the assessment above for the revenue threshold, the amounts must be as reported in
the audited financial statements of the corporates or, for corporates that are part of consolidated groups,
5 Contra-accounts involve a customer buying from and selling to the same firm.",corporates,use amounts as reported in audited financial statements for revenue threshold assessment,when making revenue threshold assessment,revenue threshold,,for corporates that are part of consolidated groups,TRUE
OBL-0207,basel3,Preamble,"The figures must be based on the average amounts calculated over the prior three
years, or on the latest amounts updated every three years by the bank.",the bank,"The figures must be based on the average amounts calculated over the prior three years, or on the latest amounts updated every three years",,prior three years,every three years,,TRUE
OBL-0208,basel3,Preamble,"Under the foundation approach, banks must provide their own estimates of PD associated with
each of their borrower grades, but must use supervisory estimates for the other relevant risk components.",banks,"must provide their own estimates of PD associated with each of their borrower grades, but must use supervisory estimates for the other relevant risk components",Under the foundation approach,,,,TRUE
OBL-0209,basel3,Preamble,"Under the advanced approach, banks must calculate the effective maturity (M)8 and provide their
own estimates of PD, LGD and EAD.",banks,"must calculate the effective maturity (M) and provide their own estimates of PD, LGD and EAD",under the advanced approach,,,,TRUE
OBL-0210,basel3,Preamble,"Banks that do not meet the requirements for the estimation of PD under the corporate foundation
approach for their SL exposures are required to map their internal risk grades to five supervisory
categories, each of which is associated with a specific risk weight.",Banks,"map their internal risk grades to five supervisory categories, each of which is associated with a specific risk weight",that do not meet the requirements for the estimation of PD under the corporate foundation approach for their SL exposures,five supervisory categories,,,TRUE
OBL-0211,basel3,Preamble,"For retail exposures, banks must provide their own estimates of PD, LGD and EAD.",banks,"must provide their own estimates of PD, LGD and EAD",For retail exposures,,,,TRUE
OBL-0212,basel3,Preamble,"However, when a bank adopts an IRB approach for an asset class within
a particular business unit, it must apply the IRB approach to all exposures within that asset class in that
unit.",bank,must apply the IRB approach to all exposures within that asset class in that unit,when a bank adopts an IRB approach for an asset class within a particular business unit,all exposures within that asset class in that unit,,,TRUE
OBL-0213,basel3,Preamble,"If a bank intends to adopt an IRB approach to an asset class, it must produce an implementation
plan, specifying to what extent and when it intends to roll out the IRB approaches within the asset class
and business units.",bank,"must produce an implementation plan, specifying to what extent and when it intends to roll out the IRB approaches within the asset class and business units",intends to adopt an IRB approach to an asset class,,,,TRUE
OBL-0214,basel3,Preamble,"The plan should be realistic, and must be agreed with the supervisor.",The plan,"The plan should be realistic, and must be agreed with the supervisor",,,,,TRUE
OBL-0215,basel3,Preamble,"During the roll-out period,
supervisors will ensure that no capital relief is granted for intra-group transactions which are designed to
reduce a banking group’s aggregate capital charge by transferring credit risk among entities on the
standardised approach, foundation and advanced IRB approaches.",supervisors,"ensure that no capital relief is granted for intra-group transactions which are designed to reduce a banking group's aggregate capital charge by transferring credit risk among entities on the standardised approach, foundation and advanced IRB approaches",during the roll-out period,,,,TRUE
OBL-0216,basel3,Section XI,"A voluntary return to the standardised or foundation approach is permitted
only in extraordinary circumstances, such as divestiture of a large fraction of the bank’s credit-related
business in that asset class, and must be approved by the supervisor.",bank,must be approved by the supervisor for voluntary return to standardised or foundation approach,"extraordinary circumstances, such as divestiture of a large fraction of the bank's credit-related business in that asset class",large fraction,,,TRUE
OBL-0217,basel3,Section XI,"Irrespective of the materiality, exposures to CCPs arising from OTC derivatives, exchange traded
derivatives transactions and SFTs must be treated according to the dedicated treatment laid down in
Section XI of the counterparty credit risk standards.",regulated entities with exposures to CCPs,must treat exposures to CCPs according to the dedicated treatment laid down in Section XI of the counterparty credit risk standards,"exposures to CCPs arising from OTC derivatives, exchange traded derivatives transactions and SFTs",,,,TRUE
OBL-0218,basel3,Section XI,"The most recent audited financial statement of the parent company and consolidated subsidiaries
must be used in order to determine asset size.",parent company and consolidated subsidiaries,must use the most recent audited financial statement to determine asset size,in order to determine asset size,,,,TRUE
OBL-0219,basel3,Section XI,"The slotting criteria on which this mapping must be based are
provided in Annex 6 of the Basel II framework (June 2006).",financial institutions/banks,must base mapping on the slotting criteria provided in Annex 6 of the Basel II framework (June 2006),,,,,TRUE
OBL-0220,basel3,Section XI,"Banks that do not meet the requirements for estimation of PD, or whose supervisor has chosen
not to implement the foundation or advanced approaches to HVCRE, must map their internal grades to
five supervisory categories, each of which is associated with a specific risk weight.",Banks,"must map their internal grades to five supervisory categories, each of which is associated with a specific risk weight","that do not meet the requirements for estimation of PD, or whose supervisor has chosen not to implement the foundation or advanced approaches to HVCRE",five supervisory categories,,,TRUE
OBL-0221,basel3,Section XI,"The slotting criteria on
which this mapping must be based are the same as those for IPRE, as provided in Annex 6 of the Basel II
framework (June 2006).",this mapping,"The slotting criteria on which this mapping must be based are the same as those for IPRE, as provided in Annex 6 of the Basel II framework (June 2006)",,,,,TRUE
OBL-0222,basel3,Section XI,"Banks that do not meet the requirements for estimation of LGD and EAD for HVCRE exposures
must use the supervisory parameters for LGD and EAD for corporate exposures.",Banks that do not meet the requirements for estimation of LGD and EAD for HVCRE exposures,must use the supervisory parameters for LGD and EAD for corporate exposures,do not meet the requirements for estimation of LGD and EAD for HVCRE exposures,,,,TRUE
OBL-0223,basel3,Section XI,"The PD for each exposure that is used as input into the risk weight formula and the calculation
of expected loss must not be less than 0.05%.",The regulated entity,must ensure that the PD for each exposure used as input into the risk weight formula and the calculation of expected loss is not less than 0.05%,for each exposure that is used as input into the risk weight formula and the calculation of expected loss,0.05%,,,TRUE
OBL-0224,basel3,Section XI,A bank must provide an estimate of the LGD for each corporate and bank exposure.,A bank,must provide an estimate of the LGD,for each corporate and bank exposure,,,,TRUE
OBL-0225,basel3,Section XI,"The LGD applicable to a collateralised transaction (LGD*) must be calculated as the exposure
weighted average of the LGD applicable to the unsecured part of an exposure (LGD ) and the LGD
U
applicable to the collateralised part of an exposure (LGD ).",regulated entity calculating LGD for collateralised transactions,must calculate LGD* as the exposure weighted average of LGD applicable to the unsecured part and LGD applicable to the collateralised part,for collateralised transactions,,,,TRUE
OBL-0226,basel3,Section XI,"Banks must continue
to calculate EAD without taking into account the presence of any collateral, unless otherwise
specified.",Banks,must continue to calculate EAD without taking into account the presence of any collateral,,,,unless otherwise specified,TRUE
OBL-0227,basel3,Section XI,"Banks that lend securities or post collateral must calculate capital requirements for both of the
following: (i) the credit risk or market risk of the securities, if this remains with the bank;",Banks that lend securities or post collateral,must calculate capital requirements for both of the following: (i) the credit risk or market risk of the securities,if this remains with the bank,,,,TRUE
OBL-0228,basel3,Section XI,"The bank must calculate E*, which is the exposure to be used for the
counterparty credit risk charge taking account of the risk mitigation of collateral received, using the
formula set out in paragraph 178 of the standardised approach.",The bank,"must calculate E*, which is the exposure to be used for the counterparty credit risk charge taking account of the risk mitigation of collateral received, using the formula set out in paragraph 178 of the standardised approach",,,,,TRUE
OBL-0229,basel3,Section XI,"In calculating RWA and EL amounts for
the counterparty credit risk arising from the set of transactions covered by the master netting agreement,
E* must be used as the EAD of the counterparty and the LGD of the counterparty must be determined
using the LGD specified for unsecured exposures, as set out in paragraphs 70 and 71.",E*,use E* as the EAD of the counterparty and determine the LGD of the counterparty using the LGD specified for unsecured exposures as set out in paragraphs 70 and 71,when calculating RWA and EL amounts for the counterparty credit risk arising from the set of transactions covered by the master netting agreement,,,,TRUE
OBL-0230,basel3,Section XI,"The master netting agreement must satisfy the criteria set out in paragraph 175 and 176
of the standardised approach.",The master netting agreement,The master netting agreement must satisfy the criteria set out in paragraph 175 and 176 of the standardised approach,,,,,TRUE
OBL-0231,basel3,Section XI,LGD must be measured as the loss given default as a percentage of the EAD.,regulated entity,must measure LGD as the loss given default as a percentage of the EAD,,,,,TRUE
OBL-0232,basel3,Section XI,"Banks eligible for
the IRB approach that are unable to meet these additional minimum requirements must utilise the
foundation LGD treatment described above.",Banks eligible for the IRB approach,must utilise the foundation LGD treatment,that are unable to meet these additional minimum requirements,,,,TRUE
OBL-0233,basel3,Section XI,"The LGD for each exposure that is used as input into the risk weight formula and the calculation
of expected loss must not be less than the parameter floors indicated in the table below:
68 Basel III: Finalising post-crisis reforms
LGD parameter floors
LGD
Unsecured Secured
Corporate 25% Varying by collateral type:
• 0% financial
• 10% receivables
• 10% commercial or residential real estate
• 15% other physical
86.",Financial institutions calculating risk weights and expected loss,Must ensure LGD for each exposure is not less than the specified parameter floors,When using LGD as input into risk weight formula and calculation of expected loss,"Unsecured Corporate: 25%; Secured varying by collateral type: 0% financial, 10% receivables, 10% commercial or residential real estate, 15% other physical",,,TRUE
OBL-0234,basel3,Section XI,"To
U
adopt this treatment the collateral must be eligible under the F-IRB and the bank’s estimate of LGD must
U
not take account of any effects of collateral recoveries.",the bank,ensure the collateral is eligible under the F-IRB and ensure the bank's estimate of LGD does not take account of any effects of collateral recoveries,To adopt this treatment,,,,TRUE
OBL-0235,basel3,Section XI,"Banks that want to recognise the effects of master netting agreements on repo-style transactions
for capital purposes must apply the methodology outlined in paragraph 77 for determining E* for use as
the EAD in the calculation of counterparty credit risk.",Banks,must apply the methodology outlined in paragraph 77 for determining E* for use as the EAD in the calculation of counterparty credit risk,that want to recognise the effects of master netting agreements on repo-style transactions for capital purposes,,,,TRUE
OBL-0236,basel3,Section XI,"In both cases banks, in addition to counterparty credit risk, must also calculate the capital
requirements relating to any credit or market risk to which they remain exposed arising from the
underlying securities in the master netting agreement.",banks,must also calculate the capital requirements relating to any credit or market risk to which they remain exposed arising from the underlying securities in the master netting agreement,in addition to counterparty credit risk,,,,TRUE
OBL-0237,basel3,Section XI,"Under either approach, CRM in the form of guarantees and credit derivatives must not reflect the
effect of double default (see paragraph 254).",CRM in the form of guarantees and credit derivatives,CRM in the form of guarantees and credit derivatives must not reflect the effect of double default,Under either approach,,,,TRUE
