clause_id,section,source_text,claude_subject,claude_obligation,claude_condition,claude_threshold,claude_deadline,claude_exception,human_subject,human_obligation,human_condition,human_threshold,human_deadline,human_exception,notes
OBL-0644,Section XI,"• Banks must document the process for initial and ongoing validation of their exposure models to a level of detail that would enable a third party to understand how the model operates, its limitations, and its key assumptions;",Banks,must document the process for initial and ongoing validation of their exposure models,,"to a level of detail that would enable a third party to understand how the model operates, its limitations, and its key assumptions",,,,,,,,,
OBL-0431,Section XI,The number of exposures in the sample and the data period used for quantification must be sufficient to provide the bank with confidence in the accuracy and robustness of its estimates.,the bank,must ensure the number of exposures in the sample and the data period used for quantification are sufficient to provide the bank with confidence in the accuracy and robustness of its estimates,when using samples and data periods for quantification,sufficient to provide confidence in accuracy and robustness,,,,,,,,,
OBL-0389,Section XI,"Banks must retain data used in the process of allocating exposures to pools, including data on borrower and transaction risk characteristics used either directly or through use of a model, as well as data on delinquency.",Banks,"must retain data used in the process of allocating exposures to pools, including data on borrower and transaction risk characteristics used either directly or through use of a model, as well as data on delinquency",in the process of allocating exposures to pools,,,,,,,,,,
OBL-0222,Section XI,Banks that do not meet the requirements for estimation of LGD and EAD for HVCRE exposures must use the supervisory parameters for LGD and EAD for corporate exposures.,Banks that do not meet the requirements for estimation of LGD and EAD for HVCRE exposures,must use the supervisory parameters for LGD and EAD for corporate exposures,do not meet the requirements for estimation of LGD and EAD for HVCRE exposures,,,,,,,,,,
OBL-0138,Preamble,"Where the collateral is a basket of assets, the haircut on the basket must be H =∑ aH , where i i i a is the weight of the asset (as measured by units of currency) in the basket and H the haircut applicable i i to that asset.",regulated entity handling collateral baskets,"must calculate haircut on basket using formula H = ∑ aiHi, where ai is asset weight and Hi is individual asset haircut",where the collateral is a basket of assets,haircut calculation formula H = ∑ aiHi,,,,,,,,,
OBL-0565,Section XI,"Banks under the foundation IRB approach, which do not meet the requirements for own- estimates of LGD and EAD, above, must meet the minimum requirements described in the standardised approach to receive recognition for eligible financial collateral (as set out in the credit risk mitigation section (Section D) of the standardised approach).",Banks under the foundation IRB approach,must meet the minimum requirements described in the standardised approach to receive recognition for eligible financial collateral,which do not meet the requirements for own-estimates of LGD and EAD,,,,,,,,,,
OBL-0540,Section XI,"In particular: • The bank must (a) assess the correlation among the quality of the receivables and the financial condition of both the seller and servicer, and (b) have in place internal policies and procedures that provide adequate safeguards to protect against such contingencies, including the assignment of an internal risk rating for each seller and servicer.",The bank,"must (a) assess the correlation among the quality of the receivables and the financial condition of both the seller and servicer, and (b) have in place internal policies and procedures that provide adequate safeguards to protect against such contingencies, including the assignment of an internal risk rating for each seller and servicer",,,,,,,,,,,
OBL-0091,Preamble,"With the exception of residential real estate exposures treated under paragraph 93, the unsecured or unguaranteed portion of a defaulted exposure shall be risk-weighted net of specific provisions and partial write-offs as follows: • 150% risk weight when specific provisions are less than 20% of the outstanding amount of the loan;",regulated financial institutions,apply 150% risk weight to the unsecured or unguaranteed portion of defaulted exposures net of specific provisions and partial write-offs,when specific provisions are less than 20% of the outstanding amount of the loan,150% risk weight when specific provisions are less than 20%,,residential real estate exposures treated under paragraph 93,,,,,,,
OBL-0050,Preamble,"That obligation is considered to be the same as an obligation that requires settlement by issuance of shares equal to the appreciation in the fair value of 3,000 equity shares.",,"settlement by issuance of shares equal to the appreciation in the fair value of 3,000 equity shares",,"3,000 equity shares",,,,,,,,,
OBL-0114,Preamble,"For the hedge, (embedded) options that may reduce the term of the hedge must be taken into account so that the shortest possible effective maturity is used.",implied entity/institution calculating hedge maturity,must take into account (embedded) options that may reduce the term of the hedge and use the shortest possible effective maturity,for the hedge,,,,,,,,,,
OBL-0155,Preamble,"In addition to the legal certainty requirements in paragraph 125, in order for a guarantee to be recognised, the following requirements must be satisfied: (a) On the qualifying default/non-payment of the counterparty, the bank may in a timely manner pursue the guarantor for any monies outstanding under the documentation governing the transaction.",bank,may pursue the guarantor for any monies outstanding under the documentation governing the transaction,qualifying default/non-payment of the counterparty and for a guarantee to be recognised,,in a timely manner,,,,,,,,
OBL-0679,Section XI,"The exclusion of internal loss data due to non-compliance with the loss data standards, and the application of any resulting multipliers, must be publicly disclosed.",The regulated entity,must be publicly disclosed,"The exclusion of internal loss data due to non-compliance with the loss data standards, and the application of any resulting multipliers",,,,,,,,,,
OBL-0161,Preamble,"and − restructuring83 of the underlying obligation involving forgiveness or postponement of principal, interest or fees that results in a credit loss event (ie write-off, specific provision or other similar debit to the profit and loss account).",,"restructuring of the underlying obligation involving forgiveness or postponement of principal, interest or fees that results in a credit loss event","results in a credit loss event (ie write-off, specific provision or other similar debit to the profit and loss account)",,,,,,,,,,
OBL-0464,Section XI,Mappings must be based on a comparison of internal rating criteria to the criteria used by the external institution and on a comparison of the internal and external ratings of any common borrowers.,Mappings,Mappings must be based on a comparison of internal rating criteria to the criteria used by the external institution and on a comparison of the internal and external ratings of any common borrowers,,,,,,,,,,,
OBL-0658,Section XI,"To the extent that the exposure model relies on proxy market data, internal policies must identify suitable proxies and the bank must demonstrate empirically on an ongoing basis that the proxy provides a conservative representation of the underlying risk under adverse market conditions.","internal policies, the bank",must identify suitable proxies and must demonstrate empirically on an ongoing basis that the proxy provides a conservative representation of the underlying risk under adverse market conditions,to the extent that the exposure model relies on proxy market data,,on an ongoing basis,,,,,,,,
OBL-0062,Preamble,"(iii) the guarantor shall establish a fully-funded mutual guarantee fund or equivalent protection for insurance undertakings to absorb credit risk losses, whose calibration shall be periodically reviewed by its supervisors and subject to periodic stress testing;",the guarantor,shall establish a fully-funded mutual guarantee fund or equivalent protection for insurance undertakings to absorb credit risk losses,whose calibration shall be periodically reviewed by its supervisors and subject to periodic stress testing,fully-funded,,,,,,,,,
OBL-0416,Section XI,"Thus, the bank must demonstrate that it has been using a rating system that was broadly in line with the minimum requirements articulated in this document for at least the three years prior to qualification.",the bank,must demonstrate that it has been using a rating system that was broadly in line with the minimum requirements articulated in this document,for at least the three years prior to qualification,three years,,,,,,,,,
OBL-0411,Section XI,"Internal audit or an equally independent function must review at least annually the bank’s rating system and its operations, including the operations of the credit function and the estimation of PDs, LGDs and EADs.",Internal audit or an equally independent function,"must review the bank's rating system and its operations, including the operations of the credit function and the estimation of PDs, LGDs and EADs",,at least annually,,,,,,,,,
OBL-0680,Section XI,130 Basel III: Finalising post-crisis reforms (a) Internally generated loss data calculations used for regulatory capital purposes must be based on a 10-year observation period.,Internally generated loss data calculations used for regulatory capital purposes,must be based on a 10-year observation period,used for regulatory capital purposes,10-year observation period,,,,,,,,,
OBL-0519,Section XI,"A bank must follow all minimum requirements for assigning borrower ratings set out in this document, including the regular monitoring of the guarantor’s condition and ability and willingness to honour its obligations.",A bank,"must follow all minimum requirements for assigning borrower ratings set out in this document, including the regular monitoring of the guarantor's condition and ability and willingness to honour its obligations",,,,,,,,,,,
OBL-0582,Section XI,"Banks must take all steps necessary to fulfil local requirements in respect of the enforceability of security interest, eg by registering a security interest with a registrar.",Banks,must take all steps necessary to fulfil local requirements in respect of the enforceability of security interest,in respect of the enforceability of security interest,,,,,,,,,,
OBL-0257,Section XI,"Banks may reflect the risk-reducing effects of guarantees and credit derivatives, either in support of an individual obligation or a pool of exposures, through an adjustment of either the PD or LGD estimate, subject to the minimum requirements in paragraphs 252 to 263.",Banks,may reflect the risk-reducing effects of guarantees and credit derivatives through an adjustment of either the PD or LGD estimate,either in support of an individual obligation or a pool of exposures,,,subject to the minimum requirements in paragraphs 252 to 263,,,,,,,
OBL-0610,Section XI,"The reduced BA-CVA is also part of the full BA-CVA capital calculations as a conservative means to restrict hedging efficiency, so all banks using the BA-CVA must make these calculations.",all banks using the BA-CVA,must make these calculations,using the BA-CVA,,,,,,,,,,
OBL-0010,Preamble,"Such ratings must not incorporate assumptions of implicit government support, unless the rating refers to a public bank owned by its government.16 Banks incorporated in jurisdictions that allow the use of external ratings for regulatory purposes must only apply SCRA for their unrated bank exposures, in accordance with paragraph 21.",Banks incorporated in jurisdictions that allow the use of external ratings for regulatory purposes,"must only apply SCRA for their unrated bank exposures, in accordance with paragraph 21",incorporated in jurisdictions that allow the use of external ratings for regulatory purposes,,,,,,,,,,
OBL-0118,Preamble,"Additionally, banks must take all steps necessary to fulfil those requirements under the law applicable to the bank’s interest in the collateral for obtaining and maintaining an enforceable security interest, eg by registering it with a registrar, or for exercising a right to net or set off in relation to the title transfer of the collateral.",banks,"must take all steps necessary to fulfil those requirements under the law applicable to the bank's interest in the collateral for obtaining and maintaining an enforceable security interest, eg by registering it with a registrar, or for exercising a right to net or set off in relation to the title transfer of the collateral",requirements under the law applicable to the bank's interest in the collateral,,,,,,,,,,
OBL-0590,Section XI,The bank must maintain a continuous monitoring process that is appropriate for the specific exposures (either immediate or contingent) attributable to the collateral to be utilised as a risk mitigant.,The bank,must maintain a continuous monitoring process that is appropriate for the specific exposures (either immediate or contingent) attributable to the collateral to be utilised as a risk mitigant,that is appropriate for the specific exposures (either immediate or contingent) attributable to the collateral to be utilised as a risk mitigant,,,,,,,,,,
OBL-0275,Section XI,"For the purpose of calculating risk weights for dilution risk, the corporate risk-weight function must be used with the following settings: the PD must be set equal to the estimated EL, and the LGD must be set at 100%.",,use the corporate risk-weight function with specified settings: PD set equal to estimated EL and LGD set at 100%,for the purpose of calculating risk weights for dilution risk,PD must be set equal to estimated EL; LGD must be set at 100%,,,,,,,,,
OBL-0362,Section XI,"For corporate, and bank exposures, each borrower and all recognised guarantors must be assigned a rating and each exposure must be associated with a facility rating as part of the loan approval process.",regulated entity (implied - likely banks or financial institutions),must assign a rating to each borrower and all recognised guarantors and associate each exposure with a facility rating as part of the loan approval process,for corporate and bank exposures,,,,,,,,,,
OBL-0116,Preamble,"Banks that lend securities or post collateral must calculate capital requirements for both of the following: (i) the credit risk or market risk of the securities, if this remains with the bank;",Banks that lend securities or post collateral,must calculate capital requirements for both of the following: (i) the credit risk or market risk of the securities,if this remains with the bank,,,,,,,,,,
OBL-0297,Section XI,Banks must demonstrate that each system used for IRB purposes is in compliance with the minimum requirements at the outset and on an ongoing basis.,Banks,must demonstrate that each system used for IRB purposes is in compliance with the minimum requirements,for systems used for IRB purposes,,at the outset and on an ongoing basis,,,,,,,,
OBL-0479,Section XI,"In addition, a bank must take into account the potential for the LGD of the facility to be higher than the default-weighted average during a period when credit losses are substantially higher than average.",a bank,must take into account the potential for the LGD of the facility to be higher than the default-weighted average,during a period when credit losses are substantially higher than average,,,,,,,,,,
OBL-0159,Preamble,"Where a guarantee covers payment of principal only, interests and other uncovered payments must be treated as an unsecured amount in accordance with the rules for proportional cover described in paragraph 202.",,interests and other uncovered payments must be treated as an unsecured amount in accordance with the rules for proportional cover described in paragraph 202,Where a guarantee covers payment of principal only,,,,,,,,,,
OBL-0498,Section XI,"The criteria by which estimates of EAD are derived must be plausible and intuitive, and represent what the bank believes to be the material drivers of EAD.",the bank,"The criteria by which estimates of EAD are derived must be plausible and intuitive, and represent what the bank believes to be the material drivers of EAD",,,,,,,,,,,
OBL-0003,Preamble,"Banks must take reasonable and adequate steps to assess the operating and financial performance levels and trends through internal credit analysis and/or other analytics outsourced to a third party, as appropriate for each counterparty.",Banks,must take reasonable and adequate steps to assess the operating and financial performance levels and trends through internal credit analysis and/or other analytics outsourced to a third party,as appropriate for each counterparty,,,,,,,,,,
OBL-0718,Section XI,"With regard to traditional securitisations, an originating bank may exclude securitised exposures from its leverage ratio exposure measure if the securitisation meets the operational requirements for the recognition of risk transference according to paragraph 24 of the standard Revisions to the securitisation framework.8 Banks meeting these conditions must include any retained securitisation exposures in their leverage ratio exposure measure.",originating bank,may exclude securitised exposures from leverage ratio exposure measure; must include retained securitisation exposures in leverage ratio exposure measure,traditional securitisations that meet operational requirements for recognition of risk transference according to paragraph 24 of the standard Revisions to the securitisation framework,,,,,,,,,,
OBL-0550,Section XI,"Banks must have a robust system in place to validate the accuracy and consistency of rating systems, processes, and the estimation of all relevant risk components.",Banks,"must have a robust system in place to validate the accuracy and consistency of rating systems, processes, and the estimation of all relevant risk components",,,,,,,,,,,
OBL-0182,Preamble,"Under the IRB approach, banks must categorise banking-book exposures into broad classes of assets with different underlying risk characteristics, subject to the definitions set out below.",banks,"must categorise banking-book exposures into broad classes of assets with different underlying risk characteristics, subject to the definitions set out below",Under the IRB approach,,,,,,,,,,
OBL-0562,Section XI,"Banks must have well-articulated internal standards for situations where deviations in realised PDs, LGDs and EADs from expectations become significant enough to call the validity of the estimates into question.",Banks,"must have well-articulated internal standards for situations where deviations in realised PDs, LGDs and EADs from expectations become significant enough to call the validity of the estimates into question","where deviations in realised PDs, LGDs and EADs from expectations become significant enough to call the validity of the estimates into question",,,,,,,,,,
OBL-0111,Preamble,"Banks must have conducted sufficient legal review to verify this and have a well-founded legal basis to reach this conclusion, and undertake such further review as necessary to ensure continuing enforceability.",Banks,"must have conducted sufficient legal review to verify this and have a well-founded legal basis to reach this conclusion, and undertake such further review as necessary to ensure continuing enforceability",,,,,,,,,,,
OBL-0303,Section XI,The policy must articulate the risk of each grade in terms of both a description of the probability of default risk typical for borrowers assigned the grade and the criteria used to distinguish that level of credit risk.,The policy,The policy must articulate the risk of each grade in terms of both a description of the probability of default risk typical for borrowers assigned the grade and the criteria used to distinguish that level of credit risk,,,,,,,,,,,
OBL-0717,Section XI,"For example, gains/losses on fair valued liabilities or accounting value adjustments on derivative liabilities due to changes in the bank’s own credit risk as described in paragraph 75 of the Basel III framework must not be deducted from the leverage ratio exposure measure.",bank,must not deduct gains/losses on fair valued liabilities or accounting value adjustments on derivative liabilities due to changes in the bank's own credit risk from the leverage ratio exposure measure,gains/losses on fair valued liabilities or accounting value adjustments on derivative liabilities due to changes in the bank's own credit risk as described in paragraph 75 of the Basel III framework,,,,,,,,,,
OBL-0204,Preamble,• Minimum requirements: the minimum standards that must be met in order for a bank to use the IRB approach for a given asset class.,bank,meet minimum standards,to use the IRB approach for a given asset class,minimum standards,,,,,,,,,
OBL-0690,Section XI,"The following items must be included in the gross loss computation of the loss data set: (a) Direct charges, including impairments and settlements, to the bank’s P&L accounts and write- downs due to the operational risk event;",the bank,"must include direct charges, including impairments and settlements, to the bank's P&L accounts and write-downs due to the operational risk event in the gross loss computation of the loss data set",when computing gross loss in the loss data set,,,,,,,,,,
OBL-0400,Section XI,"Senior management also must have a good understanding of the rating system’s design and operation, and must approve material differences between established procedure and actual practice.",Senior management,"must have a good understanding of the rating system's design and operation, and must approve material differences between established procedure and actual practice",,,,,,,,,,,
OBL-0163,Preamble,(c) The credit derivative shall not terminate prior to expiration of any grace period required for a default on the underlying obligation to occur as a result of a failure to pay.,credit derivative,shall not terminate prior to expiration of any grace period required for a default on the underlying obligation to occur as a result of a failure to pay,default on the underlying obligation to occur as a result of a failure to pay,,expiration of any grace period required for a default,,,,,,,,
OBL-0593,Section XI,"In order for a given bank to receive recognition for additional physical collateral, it must meet all the standards in paragraphs 283 and 284, subject to the following modifications.",bank,"must meet all the standards in paragraphs 283 and 284, subject to the following modifications",to receive recognition for additional physical collateral,,,,,,,,,,
OBL-0584,Section XI,"Banks must have conducted sufficient legal review to verify this and have a well-founded legal basis to reach this conclusion, and undertake such further review as necessary to ensure continuing enforceability.",Banks,"must have conducted sufficient legal review to verify this and have a well-founded legal basis to reach this conclusion, and undertake such further review as necessary to ensure continuing enforceability",,,,,,,,,,,
OBL-0002,Preamble,"Consistent with the Committee’s guidance on the assessment of credit risk5 and paragraphs 733 to 735 of the Basel II framework (June 2006), banks must perform due diligence to ensure that they have an adequate understanding, at origination and thereafter on a regular basis (at least annually), of the risk profile and characteristics of their counterparties.",banks,must perform due diligence to ensure that they have an adequate understanding of the risk profile and characteristics of their counterparties,at origination and thereafter on a regular basis,at least annually,,,,,,,,,
OBL-0340,Section XI,PD estimates for borrowers that are highly leveraged or for borrowers whose assets are predominantly traded assets must reflect the performance of the underlying assets based on periods of stressed volatilities.,PD estimates,must reflect the performance of the underlying assets based on periods of stressed volatilities,for borrowers that are highly leveraged or for borrowers whose assets are predominantly traded assets,,,,,,,,,,
OBL-0536,Section XI,"The purchasing bank must determine whether the data provided by the seller are consistent with expectations agreed upon by both parties concerning, for example, the type, volume and on-going quality of receivables purchased.",The purchasing bank,"must determine whether the data provided by the seller are consistent with expectations agreed upon by both parties concerning the type, volume and on-going quality of receivables purchased",,,,,,,,,,,
OBL-0016,Preamble,"If as part of its due diligence, a bank assesses that a counterparty bank does not meet the definition of Grade A in paragraphs 22 and 23, exposures to the counterparty bank must be classified as Grade B or Grade C.",bank,exposures to the counterparty bank must be classified as Grade B or Grade C,"if as part of its due diligence, a bank assesses that a counterparty bank does not meet the definition of Grade A in paragraphs 22 and 23",,,,,,,,,,
OBL-0664,Section XI,"For example, to calculate delta sensitivity of S&P500 to large financial companies, banks must apply the relevant shift to equity prices of all large financial companies that are constituents of S&P500 and re- compute the index.",banks,must apply the relevant shift to equity prices of all large financial companies that are constituents of S&P500 and re-compute the index,to calculate delta sensitivity of S&P500 to large financial companies,,,,,,,,,,
OBL-0709,Section XI,"In addition, banks must disclose more granular information related to the calculation of their risk-weighted assets under internally-modelled and standardised approaches, which will be set out in forthcoming disclosure templates as part of the Committee’s Pillar 3 disclosure framework.",banks,must disclose more granular information related to the calculation of their risk-weighted assets under internally-modelled and standardised approaches,which will be set out in forthcoming disclosure templates as part of the Committee's Pillar 3 disclosure framework,,,,,,,,,,
OBL-0321,Section XI,The level of differentiation for IRB purposes must ensure that the number of exposures in a given pool is sufficient so as to allow for meaningful quantification and validation of the loss characteristics at the pool level.,regulated entity using IRB approach,must ensure that the level of differentiation for IRB purposes ensures sufficient number of exposures in a given pool to allow for meaningful quantification and validation of loss characteristics at the pool level,for IRB purposes,sufficient number of exposures to allow for meaningful quantification and validation,,,,,,,,,
OBL-0243,Section XI,"Under this option, there are no limits to the range of eligible guarantors although the set of minimum requirements provided in paragraphs 256 and 257 concerning the type of guarantee must be satisfied.",guarantors,must satisfy minimum requirements provided in paragraphs 256 and 257 concerning the type of guarantee,under this option,minimum requirements provided in paragraphs 256 and 257 concerning the type of guarantee,,,,,,,,,
OBL-0059,Preamble,"Instead, they are typically provided as loans that are guaranteed by a highly rated monoline guarantor that is required to repay the bank in full if the borrower defaults, and where the bank has legal right to take a mortgage on the property in the event that the guarantor fails.",monoline guarantor,repay the bank in full if the borrower defaults,if the borrower defaults,in full,,,,,,,,,
OBL-0245,Section XI,"When only the drawn balances of revolving facilities have been securitised, banks must ensure that they continue to hold required capital against the undrawn balances associated with the securitised exposures.",banks,must ensure that they continue to hold required capital against the undrawn balances associated with the securitised exposures,When only the drawn balances of revolving facilities have been securitised,,,,,,,,,,
OBL-0079,Preamble,"The risk-weighting treatment for counterparty credit risk must be applied in addition to the credit risk charge on the securities or posted collateral, where the credit risk of the securities lent or posted as collateral remains with the bank.",bank,must apply the risk-weighting treatment for counterparty credit risk in addition to the credit risk charge on the securities or posted collateral,where the credit risk of the securities lent or posted as collateral remains with the bank,,,,,,,,,,
OBL-0085,Preamble,A defaulted borrower is a borrower in respect of whom any of the following events have occurred: • Any material credit obligation that is past due for more than 90 days.,borrower,classification as defaulted borrower,any material credit obligation that is past due,more than 90 days,,,,,,,,,
OBL-0532,Section XI,"In addition, the criteria must address the payout structure of the credit derivative and conservatively assess the impact this has on the level and timing of recoveries.",the criteria,the criteria must address the payout structure of the credit derivative and conservatively assess the impact this has on the level and timing of recoveries,,,,,,,,,,,
OBL-0067,Preamble,"The value of the property will be maintained at the value measured at origination unless national supervisors elect to require banks to revise the property value downward.37 The value must be adjusted if an extraordinary, idiosyncratic event occurs resulting in a permanent reduction of the property value.",banks,maintain property value at origination value and adjust value downward if extraordinary idiosyncratic event occurs resulting in permanent reduction,"unless national supervisors elect to require revision downward, or if extraordinary idiosyncratic event occurs resulting in permanent reduction of property value",value measured at origination,,national supervisors may elect to require banks to revise property value downward,,,,,,,
OBL-0588,Section XI,"Where the bank relies on the borrower to ascertain the credit risk of the customers, the bank must review the borrower’s credit policy to ascertain its soundness and credibility.",the bank,must review the borrower's credit policy to ascertain its soundness and credibility,Where the bank relies on the borrower to ascertain the credit risk of the customers,,,,,,,,,,
OBL-0127,Preamble,"71 However, the use or potential use by a UCITS/mutual fund of derivative instruments solely to hedge investments listed in this paragraph and paragraph 159 shall not prevent units in that UCITS/mutual fund from being eligible financial collateral.",UCITS/mutual fund,shall not be prevented from having units eligible as financial collateral,when using or potentially using derivative instruments solely to hedge investments listed in this paragraph and paragraph 159,,,use of derivative instruments solely for hedging purposes does not disqualify eligibility,,,,,,,
OBL-0128,Preamble,"(g) The transaction is governed by documentation specifying that if the counterparty fails to satisfy an obligation to deliver cash or securities or to deliver margin or otherwise defaults, then the transaction is immediately terminable;",The transaction,The transaction must be governed by documentation specifying immediate termination rights upon counterparty default,If the counterparty fails to satisfy an obligation to deliver cash or securities or to deliver margin or otherwise defaults,,immediately terminable,,,,,,,,
OBL-0526,Section XI,"These criteria must be as detailed as the criteria for assigning exposures to grades consistent with paragraphs 177 and 178, and must follow all minimum requirements for assigning borrower or facility ratings set out in this document.",These criteria,"must be as detailed as the criteria for assigning exposures to grades consistent with paragraphs 177 and 178, and must follow all minimum requirements for assigning borrower or facility ratings set out in this document",These criteria,,,,,,,,,,
OBL-0167,Preamble,"(e) If the protection purchaser’s right/ability to transfer the underlying obligation to the protection provider is required for settlement, the terms of the underlying obligation must provide that any required consent to such transfer may not be unreasonably withheld.",protection purchaser,the terms of the underlying obligation must provide that any required consent to such transfer may not be unreasonably withheld,If the protection purchaser's right/ability to transfer the underlying obligation to the protection provider is required for settlement,,,,,,,,,,
OBL-0725,Section XI,"Banks must calculate their exposures associated with all derivative transactions, including where a bank sells protection using a credit derivative, as a scalar multiplier alpha set at 1.4 times the sum of the RC14 and the PFE, as described in paragraph 34.",Banks,must calculate their exposures associated with all derivative transactions as a scalar multiplier alpha set at 1.4 times the sum of the RC14 and the PFE,where a bank sells protection using a credit derivative,1.4 times the sum of the RC14 and the PFE,,,,,,,,,
OBL-0682,Section XI,"Such procedures and processes must be subject to validation before the use of the loss data within the operational risk capital requirement measurement methodology, and to regular independent reviews by internal and/or external audit functions.",regulated entity,"must subject procedures and processes to validation before use of loss data within operational risk capital requirement measurement methodology, and to regular independent reviews by internal and/or external audit functions",before the use of the loss data within the operational risk capital requirement measurement methodology,,,,,,,,,,
OBL-0738,Section XI,"However, 25 For example, the application of the same material terms condition would result in the following treatments: • in the case of single name credit derivatives, the credit protection purchased through credit derivatives is on a reference obligation which ranks pari passu with or is junior to the underlying reference obligation of the written credit derivative.",,credit protection purchased through credit derivatives must be on a reference obligation which ranks pari passu with or is junior to the underlying reference obligation of the written credit derivative,application of the same material terms condition for single name credit derivatives,,,,,,,,,,
OBL-0205,Preamble,"For both the foundation and advanced approaches, banks must always use the risk-weight functions provided in this Framework for the purpose of deriving capital requirements.",banks,must always use the risk-weight functions provided in this Framework for the purpose of deriving capital requirements,for both the foundation and advanced approaches,,,,,,,,,,
OBL-0327,Section XI,"If rating criteria and procedures differ for different types of borrowers or facilities, the bank must Basel III: Finalising post-crisis reforms 85 monitor for possible inconsistency, and must alter rating criteria to improve consistency when appropriate.",the bank,"must monitor for possible inconsistency, and must alter rating criteria to improve consistency when appropriate",If rating criteria and procedures differ for different types of borrowers or facilities,,,,,,,,,,
OBL-0734,Section XI,"22 If there is a clear precedent for transactions being ported at a QCCP and industry intent for this practice to continue, then these factors must be considered when assessing if trades are highly likely to be ported.",regulators/assessors,these factors must be considered when assessing if trades are highly likely to be ported,If there is a clear precedent for transactions being ported at a QCCP and industry intent for this practice to continue,,,,,,,,,,
OBL-0634,Section XI,"The generation of market risk factor paths underlying the exposure models must satisfy the following requirements, with the bank’s adherence to these requirements to be demonstrated by the bank to its relevant supervisor: • Drifts of risk factors must be consistent with a risk-neutral probability measure.",bank,ensure that drifts of risk factors in market risk factor paths underlying exposure models are consistent with a risk-neutral probability measure and demonstrate adherence to requirements to relevant supervisor,when generating market risk factor paths underlying exposure models,,,,,,,,,,
OBL-0484,Section XI,"To the extent that LGD estimates take into account the existence of collateral, banks must establish internal requirements for collateral management, operational procedures, legal certainty and risk management process that are generally consistent with those required for the foundation IRB approach.",banks,"must establish internal requirements for collateral management, operational procedures, legal certainty and risk management process that are generally consistent with those required for the foundation IRB approach",To the extent that LGD estimates take into account the existence of collateral,,,,,,,,,,
OBL-0497,Section XI,"Moreover, for exposures for which EAD estimates are volatile over the economic cycle, the bank must use EAD estimates that are appropriate for an economic downturn, if these are more conservative than the long-run average.",the bank,must use EAD estimates that are appropriate for an economic downturn,"for exposures for which EAD estimates are volatile over the economic cycle, if these are more conservative than the long-run average",,,,,,,,,,
OBL-0023,Preamble,"In order to be eligible for the risk weights set out in paragraph 35, the underlying assets (the cover pool) of covered bonds as defined in paragraph 32 shall meet the requirements set out in paragraph 34 and shall include any of the following: • claims on, or guaranteed by, sovereigns, their central banks, public sector entities or multilateral development banks;",underlying assets (cover pool) of covered bonds,"underlying assets (cover pool) shall meet requirements and include claims on or guaranteed by sovereigns, central banks, public sector entities or multilateral development banks",to be eligible for the risk weights set out in paragraph 35,,,,,,,,,,
OBL-0075,Preamble,"49 For such exposures, national supervisors may allow banks to apply the treatment described in paragraphs 70 to 71 subject to the following conditions: (i) the losses stemming from commercial real estate lending up to 60% of LTV must not exceed 0.3% of the outstanding loans in any given year and (ii) overall losses stemming from commercial real estate lending must not exceed 0.5% of the outstanding loans in any given year.",banks,may apply the treatment described in paragraphs 70 to 71,losses stemming from commercial real estate lending up to 60% of LTV must not exceed 0.3% of the outstanding loans in any given year and overall losses stemming from commercial real estate lending must not exceed 0.5% of the outstanding loans in any given year,0.3% of outstanding loans for lending up to 60% LTV and 0.5% of outstanding loans for overall commercial real estate lending,any given year,,,,,,,,
OBL-0746,Section XI,"As such, where sale accounting is achieved for an SFT under the bank’s operative accounting framework, the bank must reverse all sales-related accounting entries, and then calculate its exposure as if the SFT had been treated as a financing transaction under the operative accounting framework (ie the bank must include the sum of amounts in subparagraphs (i) and (ii) of paragraph 51 for such an SFT) for the purpose of determining its leverage ratio exposure measure.",the bank,"must reverse all sales-related accounting entries, and then calculate its exposure as if the SFT had been treated as a financing transaction under the operative accounting framework (ie the bank must include the sum of amounts in subparagraphs (i) and (ii) of paragraph 51 for such an SFT) for the purpose of determining its leverage ratio exposure measure",where sale accounting is achieved for an SFT under the bank's operative accounting framework,,,,,,,,,,
OBL-0753,Annex m,"(c) In both cases (a) and (b), a bank will need to satisfy its national supervisors that it has: (i) a netting contract or agreement with the counterparty that creates a single legal obligation, covering all included transactions, such that the bank would have either a claim to receive or obligation to pay only the net sum of the positive and negative mark-to-market values of included individual transactions in the event that a counterparty fails to perform due to any of the following: default, bankruptcy, liquidation or similar circumstances;",a bank,"satisfy its national supervisors that it has a netting contract or agreement with the counterparty that creates a single legal obligation, covering all included transactions, such that the bank would have either a claim to receive or obligation to pay only the net sum of the positive and negative mark-to-market values of included individual transactions",in the event that a counterparty fails to perform due to default,,,,,,,,,,
OBL-0160,Preamble,"In addition to the legal certainty requirements in paragraph 125, in order for a credit derivative contract to be recognised, the following requirements must be satisfied: (a) The credit events specified by the contracting parties must at a minimum cover: − failure to pay the amounts due under terms of the underlying obligation that are in effect at the time of such failure (with a grace period that is closely in line with the grace period in the underlying obligation);",contracting parties,must specify credit events that at a minimum cover failure to pay the amounts due under terms of the underlying obligation that are in effect at the time of such failure (with a grace period that is closely in line with the grace period in the underlying obligation),for a credit derivative contract to be recognised,,,,,,,,,,
